Pair,Method,BaselineMeanNs,CandidateMeanNs,Ratio,BaselineAllocated,CandidateAllocated
block1-first,IndependentMultiplyBatch,8.385,12.057,1.4379248658318426,0 B,0 B
block1-second,IndependentMultiplyBatch,8.322,7.564,0.9089161259312666,0 B,0 B
block2-first,IndependentMultiplyBatch,7.622,7.562,0.9921280503804776,0 B,0 B
block2-second,IndependentMultiplyBatch,8.746,11.691,1.3367253601646467,0 B,0 B
block3-first,IndependentMultiplyBatch,9.728,10.001,1.028063322368421,0 B,0 B
block3-second,IndependentMultiplyBatch,7.564,8.529,1.1275780010576415,0 B,0 B
block4-first,IndependentMultiplyBatch,9.673,8.112,0.8386229711568283,0 B,0 B
block4-second,IndependentMultiplyBatch,12.845,13.301,1.03550019462826,0 B,0 B
block5-first,IndependentMultiplyBatch,10.365,9.894,0.9545586107091172,0 B,0 B
block5-second,IndependentMultiplyBatch,9.949,10.889,1.0944818574731128,0 B,0 B
block1-first,DependentMultiplyChain,5.049,4.995,0.9893048128342246,0 B,0 B
block1-second,DependentMultiplyChain,5.052,5.075,1.0045526524148853,0 B,0 B
block2-first,DependentMultiplyChain,5.012,4.685,0.934756584197925,0 B,0 B
block2-second,DependentMultiplyChain,6.403,5.977,0.9334686865531783,0 B,0 B
block3-first,DependentMultiplyChain,6.384,4.828,0.756265664160401,0 B,0 B
block3-second,DependentMultiplyChain,4.904,4.859,0.9908238172920065,0 B,0 B
block4-first,DependentMultiplyChain,5.966,7.054,1.1823667448876969,0 B,0 B
block4-second,DependentMultiplyChain,7.665,8.486,1.1071102413568168,0 B,0 B
block5-first,DependentMultiplyChain,6.211,5.753,0.9262598615359845,0 B,0 B
block5-second,DependentMultiplyChain,6.065,6.607,1.0893652102225886,0 B,0 B
block1-first,NotionalBatch,6.037,7.473,1.2378664899784662,0 B,0 B
block1-second,NotionalBatch,6.414,6.581,1.026036794512005,0 B,0 B
block2-first,NotionalBatch,6.547,6.34,0.9683824652512601,0 B,0 B
block2-second,NotionalBatch,9.669,7.271,0.7519908987485778,0 B,0 B
block3-first,NotionalBatch,7.768,8.936,1.1503604531410916,0 B,0 B
block3-second,NotionalBatch,6.851,6.385,0.931980732739746,0 B,0 B
block4-first,NotionalBatch,7.559,9.05,1.197248313268951,0 B,0 B
block4-second,NotionalBatch,11.474,12.697,1.1065888094823078,0 B,0 B
block5-first,NotionalBatch,9.233,7.908,0.8564930141882379,0 B,0 B
block5-second,NotionalBatch,9.716,9.178,0.9446274186908195,0 B,0 B
block1-first,LerpBatch,9.099,8.632,0.948675678646005,0 B,0 B
block1-second,LerpBatch,9.521,13.146,1.380737317508665,0 B,0 B
block2-first,LerpBatch,12.351,7.926,0.6417294146222977,0 B,0 B
block2-second,LerpBatch,12.545,9.541,0.7605420486249502,0 B,0 B
block3-first,LerpBatch,10.979,15.102,1.3755351124874762,0 B,0 B
block3-second,LerpBatch,9.333,12.975,1.3902282224365154,0 B,0 B
block4-first,LerpBatch,9.287,14.935,1.6081619468073651,0 B,0 B
block4-second,LerpBatch,14.91,14.217,0.9535211267605634,0 B,0 B
block5-first,LerpBatch,11.914,10.979,0.9215208997817693,0 B,0 B
block5-second,LerpBatch,11.691,12.627,1.0800615858352578,0 B,0 B
block1-first,SquareBatch,6.287,6.588,1.0478765707014475,0 B,0 B
block1-second,SquareBatch,5.627,5.611,0.9971565665541141,0 B,0 B
block2-first,SquareBatch,6.201,5.331,0.8597000483792938,0 B,0 B
block2-second,SquareBatch,6.309,9.467,1.5005547630369314,0 B,0 B
block3-first,SquareBatch,6.821,5.719,0.8384401114206129,0 B,0 B
block3-second,SquareBatch,6.339,7.581,1.195929957406531,0 B,0 B
block4-first,SquareBatch,9.113,5.825,0.6391967518929003,0 B,0 B
block4-second,SquareBatch,10.345,10.888,1.052489125181247,0 B,0 B
block5-first,SquareBatch,7.33,7.114,0.9705320600272851,0 B,0 B
block5-second,SquareBatch,11.526,7.967,0.6912198507721673,0 B,0 B
block1-first,PowBatch,40.376,35.944,0.8902318208836933,0 B,0 B
block1-second,PowBatch,33.627,44.661,1.3281291819073957,0 B,0 B
block2-first,PowBatch,37.62,51.064,1.3573631047315258,0 B,0 B
block2-second,PowBatch,36.056,54.041,1.4988074106944753,0 B,0 B
block3-first,PowBatch,41.285,40.659,0.9848371079084414,0 B,0 B
block3-second,PowBatch,37.838,34.339,0.9075268248850361,0 B,0 B
block4-first,PowBatch,55.824,43.695,0.7827278589853827,0 B,0 B
block4-second,PowBatch,46.132,67.14,1.4553888840717941,0 B,0 B
block5-first,PowBatch,46.53,43.813,0.9416075650118204,0 B,0 B
block5-second,PowBatch,54.029,46.633,0.8631105517407318,0 B,0 B
